pref,x,y,r
北海道,789,889,2
青森県,101,822,2
岩手県,109,821,2
宮城県,339,853,2
秋田県,42,822,2
山形県,96,822,2
福島県,180,828,2
茨城県,610,879,2
栃木県,292,882,2
群馬県,359,865,2
埼玉県,1917,956,2
千葉県,2012,953,2
東京都,8926,1041,2
神奈川県,4080,1040,2
新潟県,190,859,2
富山県,124,877,2
石川県,158,861,2
福井県,94,858,2
山梨県,125,866,2
長野県,351,877,2
岐阜県,347,880,2
静岡県,824,913,2
愛知県,2351,955,2
三重県,399,902,2
滋賀県,344,896,2
京都府,704,937,2
大阪府,2983,992,2
兵庫県,1498,928,2
奈良県,336,866,2
和歌山県,117,859,2
鳥取県,53,821,2
島根県,63,824,2
岡山県,282,862,2
広島県,560,899,2
山口県,184,857,2
徳島県,83,824,2
香川県,118,848,2
愛媛県,176,821,2
高知県,99,820,2
福岡県,1102,870,2
佐賀県,90,821,2
長崎県,173,821,2
熊本県,280,821,2
大分県,136,822,2
宮崎県,123,821,2
鹿児島県,171,821,2
沖縄県,390,820,2
